,State,Offense_Year,Offense_Type,Offense_Count
486,AK,2010,driving,4997
487,AK,2010,drug_abuse_gt,2493
488,AK,2010,drug_poss_m,1509
489,AK,2010,drug_poss_opium,236
490,AK,2010,drug_poss_other,89
491,AK,2010,drug_poss_subtotal,1950
492,AK,2010,drug_poss_synthetic,116
493,AK,2010,drug_sales_m,191
494,AK,2010,drug_sales_opium,226
495,AK,2010,drug_sales_other,45
496,AK,2010,drug_sales_subtotal,543
497,AK,2010,drug_sales_synthetic,81
498,AK,2010,drunkness,499
499,AK,2010,embezzlement,96
500,AK,2010,forgery,118
501,AK,2010,fraud,283
502,AK,2010,g_all,0
503,AK,2010,g_b,10
504,AK,2010,g_n,0
505,AK,2010,g_t,10
506,AK,2010,ht_c_s_a,0
507,AK,2010,ht_i_s,0
508,AK,2010,larceny,3145
509,AK,2010,liquor,2493
510,AK,2010,manslaughter,1
511,AK,2010,mvt,280
512,AK,2010,murder,25
513,AK,2010,offense_family,321
514,AK,2010,prostitution,161
515,AK,2010,prostitution_a_p_p,0
516,AK,2010,prostitution_p,0
517,AK,2010,prostitution_p_p,0
518,AK,2010,rape,90
519,AK,2010,robbery,264
520,AK,2010,sex_offense,327
521,AK,2010,simple_assault,5347
522,AK,2010,stolen_property,35
523,AK,2010,suspicion,11
524,AK,2010,vagrancy,16
525,AK,2010,vandalism,904
526,AK,2010,weapons,420
527,AK,2010,data_year,2010
528,AK,2011,aggravated_assault,1687
529,AK,2011,all_other_offenses,15588
530,AK,2011,arson,44
531,AK,2011,burglary,427
532,AK,2011,curfew,32
533,AK,2011,disorderly,1141
534,AK,2011,driving,4446
535,AK,2011,drug_abuse_gt,2349
536,AK,2011,drug_poss_m,1395
537,AK,2011,drug_poss_opium,187
538,AK,2011,drug_poss_other,102
539,AK,2011,drug_poss_subtotal,1789
540,AK,2011,drug_poss_synthetic,105
541,AK,2011,drug_sales_m,156
542,AK,2011,drug_sales_opium,116
543,AK,2011,drug_sales_other,168
544,AK,2011,drug_sales_subtotal,508
545,AK,2011,drug_sales_synthetic,68
546,AK,2011,drunkness,103
547,AK,2011,embezzlement,102
548,AK,2011,forgery,64
549,AK,2011,fraud,245
550,AK,2011,g_all,1
551,AK,2011,g_b,0
552,AK,2011,g_n,0
553,AK,2011,g_t,1
554,AK,2011,ht_c_s_a,0
555,AK,2011,ht_i_s,0
556,AK,2011,larceny,3107
557,AK,2011,liquor,2730
558,AK,2011,manslaughter,5
559,AK,2011,mvt,278
560,AK,2011,murder,32
561,AK,2011,offense_family,331
562,AK,2011,prostitution,69
563,AK,2011,prostitution_a_p_p,0
564,AK,2011,prostitution_p,0
565,AK,2011,prostitution_p_p,0
566,AK,2011,rape,83
567,AK,2011,robbery,228
568,AK,2011,sex_offense,357
569,AK,2011,simple_assault,5429
570,AK,2011,stolen_property,28
571,AK,2011,suspicion,4
572,AK,2011,vagrancy,7
573,AK,2011,vandalism,896
574,AK,2011,weapons,401
575,AK,2011,data_year,2011
576,AK,2012,aggravated_assault,1313
577,AK,2012,all_other_offenses,11374
578,AK,2012,arson,35
579,AK,2012,burglary,309
580,AK,2012,curfew,11
581,AK,2012,disorderly,928
582,AK,2012,driving,2951
583,AK,2012,drug_abuse_gt,1547
584,AK,2012,drug_poss_m,830
585,AK,2012,drug_poss_opium,162
586,AK,2012,drug_poss_other,75
587,AK,2012,drug_poss_subtotal,1172
588,AK,2012,drug_poss_synthetic,105
589,AK,2012,drug_sales_m,80
590,AK,2012,drug_sales_opium,110
591,AK,2012,drug_sales_other,127
592,AK,2012,drug_sales_subtotal,375
593,AK,2012,drug_sales_synthetic,58
594,AK,2012,drunkness,64
595,AK,2012,embezzlement,104
596,AK,2012,forgery,63
597,AK,2012,fraud,158
598,AK,2012,g_all,1
599,AK,2012,g_b,0
600,AK,2012,g_n,0
601,AK,2012,g_t,1
602,AK,2012,ht_c_s_a,0
603,AK,2012,ht_i_s,0
604,AK,2012,larceny,3055
605,AK,2012,liquor,1837
606,AK,2012,manslaughter,1
607,AK,2012,mvt,203
608,AK,2012,murder,16
609,AK,2012,offense_family,240
610,AK,2012,prostitution,38
611,AK,2012,prostitution_a_p_p,0
612,AK,2012,prostitution_p,0
613,AK,2012,prostitution_p_p,0
614,AK,2012,rape,86
615,AK,2012,robbery,203
616,AK,2012,sex_offense,275
617,AK,2012,simple_assault,3864
618,AK,2012,stolen_property,18
619,AK,2012,suspicion,1
620,AK,2012,vagrancy,1
621,AK,2012,vandalism,770
622,AK,2012,weapons,225
623,AK,2012,data_year,2012
624,AK,2013,aggravated_assault,1288
